Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United States,5.97959E+12,6.17404E+12,6.5393E+12,6.87872E+12,7.30876E+12,7.66406E+12,8.1002E+12,8.60852E+12,9.08917E+12,9.66062E+12,1.02848E+13,1.06218E+13,1.09775E+13,1.15107E+13,1.22749E+13,1.30937E+13,1.38559E+13,1.44776E+13,1.47186E+13,1.44187E+13,1.49644E+13,1.55179E+13,1.61553E+13,1.66915E+13,1.74276E+13,1.81207E+13,1.86245E+13
China,3.60858E+11,3.83373E+11,4.26916E+11,4.44731E+11,5.64325E+11,7.34548E+11,8.63747E+11,9.61604E+11,1.02904E+12,1.094E+12,1.21135E+12,1.3394E+12,1.47055E+12,1.66029E+12,1.95535E+12,2.28597E+12,2.75213E+12,3.55218E+12,4.59821E+12,5.10995E+12,6.10062E+12,7.57255E+12,8.56055E+12,9.60722E+12,1.04824E+13,1.10647E+13,1.11991E+13
Japan,3.13997E+12,3.57814E+12,3.89783E+12,4.46657E+12,4.90704E+12,5.44912E+12,4.83371E+12,4.41473E+12,4.03251E+12,4.56208E+12,4.88752E+12,4.30354E+12,4.11512E+12,4.44566E+12,4.81515E+12,4.75541E+12,4.53038E+12,4.51526E+12,5.03791E+12,5.23138E+12,5.7001E+12,6.15746E+12,6.20321E+12,5.15572E+12,4.85041E+12,4.39498E+12,4.94927E+12
Germany,1.76497E+12,1.86187E+12,2.12313E+12,2.06856E+12,2.20597E+12,2.59162E+12,2.50367E+12,2.21869E+12,2.24323E+12,2.19996E+12,1.94995E+12,1.95065E+12,2.07914E+12,2.50573E+12,2.81925E+12,2.86141E+12,3.00245E+12,3.43995E+12,3.75237E+12,3.41801E+12,3.41709E+12,3.7577E+12,3.54398E+12,3.75251E+12,3.89061E+12,3.37561E+12,3.4778E+12
United Kingdom,1.09317E+12,1.1428E+12,1.17966E+12,1.06139E+12,1.14049E+12,1.33522E+12,1.40878E+12,1.55248E+12,1.63851E+12,1.66562E+12,1.64795E+12,1.62151E+12,1.76841E+12,2.0384E+12,2.39856E+12,2.5207E+12,2.69261E+12,3.07436E+12,2.89056E+12,2.38283E+12,2.44117E+12,2.6197E+12,2.66209E+12,2.73982E+12,3.02283E+12,2.88557E+12,2.65085E+12
France,1.2753E+12,1.27556E+12,1.40872E+12,1.33009E+12,1.40164E+12,1.60989E+12,1.61425E+12,1.46071E+12,1.51076E+12,1.50028E+12,1.36844E+12,1.38222E+12,1.50034E+12,1.84812E+12,2.12411E+12,2.20368E+12,2.32501E+12,2.66311E+12,2.92347E+12,2.69383E+12,2.64684E+12,2.86268E+12,2.68142E+12,2.80851E+12,2.84931E+12,2.43356E+12,2.46545E+12
India,3.16697E+11,2.66502E+11,2.84364E+11,2.7557E+11,3.2291E+11,3.55476E+11,3.87656E+11,4.1032E+11,4.15731E+11,4.527E+11,4.62147E+11,4.78965E+11,5.08069E+11,5.99593E+11,6.99689E+11,8.08901E+11,9.20317E+11,1.20111E+12,1.18695E+12,1.32394E+12,1.65662E+12,1.82305E+12,1.82764E+12,1.85672E+12,2.03539E+12,2.08987E+12,2.26379E+12
Italy,1.17733E+12,1.24211E+12,1.31581E+12,1.06145E+12,1.09559E+12,1.17079E+12,1.30893E+12,1.23905E+12,1.26631E+12,1.24856E+12,1.14176E+12,1.16232E+12,1.26651E+12,1.56965E+12,1.79831E+12,1.85266E+12,1.94263E+12,2.20305E+12,2.39073E+12,2.18516E+12,2.12506E+12,2.27629E+12,2.07282E+12,2.13049E+12,2.15173E+12,1.83287E+12,1.85938E+12
Brazil,4.61952E+11,6.0286E+11,4.00599E+11,4.37799E+11,5.58112E+11,7.85643E+11,8.50426E+11,8.83199E+11,8.63723E+11,5.99389E+11,6.55421E+11,5.59373E+11,5.07963E+11,5.5832E+11,6.69316E+11,8.9163E+11,1.10764E+12,1.39708E+12,1.69582E+12,1.66702E+12,2.20887E+12,2.6162E+12,2.46519E+12,2.47281E+12,2.45599E+12,1.80365E+12,1.79619E+12
Canada,5.9393E+11,6.10328E+11,5.92388E+11,5.77171E+11,5.78139E+11,6.04032E+11,6.28546E+11,6.52825E+11,6.31813E+11,6.76083E+11,7.42293E+11,7.3638E+11,7.57951E+11,8.92381E+11,1.0232E+12,1.16936E+12,1.31542E+12,1.46498E+12,1.54913E+12,1.37115E+12,1.61346E+12,1.78865E+12,1.82429E+12,1.84263E+12,1.79927E+12,1.55962E+12,1.53577E+12
